Extracted_Code,acc. date,fat.,Airport Code,Longitude,Latitude
CGH,4 Jan 2003,0,CGH,-46.655278,-23.626667
CLE,6 Jan 2003,0,CLE,-81.85,41.416667
HEX,7 Jan 2003,0,HEX,-70.235278,19.500556
DIY,8 Jan 2003,75,DIY,40.2,37.9
CLT,8 Jan 2003,21,CLT,-80.933333,35.216667
GTO,9 Jan 2003,0,GTO,122.916667,0.65
YTJ,1 Jan 2004,0,YTJ,-87.1,48.783333
TKN,1 Jan 2004,0,TKN,131.316667,33.95
MUC,5 Jan 2004,0,MUC,11.783333,48.35
SDA,8 Jan 2004,0,SDA,44.233333,33.25
TAS,13 Jan 2004,37,TAS,69.281111,41.257778
PEK,15 Jan 2004,0,PEK,116.584444,40.063333
ANW,1 Jan 2005,0,ANW,-99.983333,42.583333
BTJ,4 Jan 2005,0,BTJ,95.341667,5.416667
GOI,6 Jan 2005,0,GOI,73.841667,15.5
ANS,6 Jan 2005,0,ANS,-73.416667,-13.65
CLO,8 Jan 2005,0,CLO,-76.496389,3.4575
LGU,9 Jan 2005,0,LGU,-111.85,41.783333
KIJ,10 Jan 2005,0,KIJ,139.116667,37.95
EEN,13 Jan 2005,1,EEN,-72.266667,42.9
HRK,2 Jan 2006,3,HRK,36.25,50.0
ARV,5 Jan 2006,0,ARV,-89.733333,45.916667
YVQ,5 Jan 2006,0,YVQ,-126.8,65.283333
IAS,9 Jan 2006,4,IAS,27.6,47.183333
AAN,9 Jan 2006,0,AAN,55.609167,24.261667
PJM,10 Jan 2006,0,PJM,-83.316667,8.55
FIH,13 Jan 2006,0,FIH,15.444444,-4.385833
ANC,15 Jan 2006,0,ANC,-149.996389,61.174444
YXJ,9 Jan 2007,0,YXJ,-120.733333,56.233333
GDL,9 Jan 2007,2,GDL,-103.301111,21.454722
VNY,12 Jan 2007,2,VNY,-118.49,34.209722
KCH,13 Jan 2007,0,KCH,110.346944,1.484722
THR,2 Jan 2008,0,THR,51.313333,35.689167
MBT,2 Jan 2008,0,MBT,123.066667,12.366667
PWA,3 Jan 2008,0+1,PWA,-97.666667,35.534167
LRV,4 Jan 2008,14,LRV,-66.75,11.833333
DTW,9 Jan 2008,0,DTW,-83.353333,42.2125
